number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_hidden_size,params_lambda_smooth,params_lr,params_num_layers,params_time_alignment,params_weight_decay,user_attrs_dropout_effective,state
52,0.7536899745464325,2026-06-21 23:14:44.282370,2026-06-21 23:18:11.196200,0 days 00:03:26.913830,32,0.22931033651405314,64,0.25036259879560274,0.00028576127989443135,2,downsample_labels,0.00010703910308706851,0.22931033651405314,COMPLETE
53,0.7486205995082855,2026-06-21 23:18:11.216141,2026-06-21 23:21:34.021817,0 days 00:03:22.805676,32,0.2408712222929245,64,0.2507709113842974,0.0002732151870940939,2,downsample_labels,0.00011643885750187337,0.2408712222929245,COMPLETE
54,0.7125158309936523,2026-06-21 23:21:34.042163,2026-06-21 23:24:37.523270,0 days 00:03:03.481107,32,0.24786479165171177,64,0.26015986984595746,0.000287984544294102,2,downsample_labels,1.9585474879423527e-05,0.24786479165171177,PRUNED
55,0.7472643554210663,2026-06-21 23:24:37.539193,2026-06-21 23:29:25.575786,0 days 00:04:48.036593,32,0.27486843903568814,64,0.2526101247839381,0.0003652078307517615,2,downsample_labels,0.00010774188990158262,0.27486843903568814,COMPLETE
56,0.5808340907096863,2026-06-21 23:29:25.597607,2026-06-21 23:30:48.507668,0 days 00:01:22.910061,32,0.2999212318402895,64,0.24678754579602882,0.00035362312460237823,2,downsample_labels,0.0001159203983725312,0.2999212318402895,PRUNED
57,0.7542900741100311,2026-06-21 23:30:48.520935,2026-06-21 23:35:03.735226,0 days 00:04:15.214291,32,0.2275464543030944,64,0.28307805667384756,0.0002776995067276986,2,downsample_labels,6.953053357328581e-05,0.2275464543030944,COMPLETE
58,0.6473355293273926,2026-06-21 23:35:03.757385,2026-06-21 23:36:23.915044,0 days 00:01:20.157659,32,0.24145811894671335,64,0.28059486389761457,0.0002985482232045527,2,upsample_preds,4.461517443823102e-05,0.24145811894671335,COMPLETE
59,0.6447349488735199,2026-06-21 23:36:23.936127,2026-06-21 23:38:50.786952,0 days 00:02:26.850825,16,0.224278245485788,64,0.299588453302535,0.0001689147763741123,2,downsample_labels,7.108047459576615e-05,0.224278245485788,PRUNED
60,0.7472158372402191,2026-06-22 22:57:34.983816,2026-06-22 23:01:32.705249,0 days 00:03:57.721433,32,0.27680390487371304,64,0.28666746597908344,0.00021530629673983953,2,downsample_labels,2.1206551805691218e-05,0.27680390487371304,COMPLETE
61,0.6320376396179199,2026-06-22 23:01:32.735568,2026-06-22 23:02:45.014528,0 days 00:01:12.278960,32,0.3534507716568063,64,0.2522299487325684,0.000440238606550763,2,downsample_labels,0.00016471855113281024,0.3534507716568063,PRUNED
62,0.7544006109237671,2026-06-22 23:02:45.032181,2026-06-22 23:06:03.121883,0 days 00:03:18.089702,32,0.2875498633754883,64,0.23575774991411536,0.000330198538960678,2,downsample_labels,9.15320920832871e-05,0.2875498633754883,COMPLETE
63,0.6135456264019012,2026-06-22 23:06:03.144381,2026-06-22 23:06:55.804819,0 days 00:00:52.660438,32,0.30515779897756434,64,0.2344389137011332,0.0002680774947781972,2,downsample_labels,8.065896620271953e-05,0.30515779897756434,COMPLETE
64,0.6849024593830109,2026-06-22 23:06:55.827276,2026-06-22 23:08:15.214054,0 days 00:01:19.386778,32,0.3378546560586625,64,0.26931233198763016,0.0003261117975226616,2,downsample_labels,5.674146054798149e-05,0.3378546560586625,PRUNED
65,0.5624929964542389,2026-06-22 23:08:15.231361,2026-06-22 23:10:31.932227,0 days 00:02:16.700866,8,0.22405322647211523,64,0.279175129943021,0.00021327662640527293,2,downsample_labels,0.00012930661837504183,0.22405322647211523,PRUNED
66,0.5631564557552338,2026-06-22 23:10:31.950335,2026-06-22 23:11:26.580875,0 days 00:00:54.630540,32,0.1814809309673724,64,0.24386711581786005,0.004613331915216078,2,downsample_labels,3.904896786355997e-05,0.1814809309673724,PRUNED
67,0.6470912992954254,2026-06-22 23:11:26.596739,2026-06-22 23:11:55.228977,0 days 00:00:28.632238,32,0.38187369745742644,64,0.21808942553641342,0.0004346501558267577,2,downsample_labels,5.109433272102703e-06,0.38187369745742644,COMPLETE
68,0.7331069111824036,2026-06-22 23:11:55.251596,2026-06-22 23:13:30.730220,0 days 00:01:35.478624,32,0.2677609235424769,64,0.2381375459327536,0.0005061727125635567,2,upsample_preds,0.00019597600185579695,0.2677609235424769,COMPLETE
69,0.6468222439289093,2026-06-22 23:13:30.751515,2026-06-22 23:14:14.573463,0 days 00:00:43.821948,32,0.29014352486571854,64,0.2897499420196448,0.00023073585823374032,2,downsample_labels,2.504793809854944e-05,0.29014352486571854,COMPLETE
70,0.7367088794708252,2026-06-22 23:14:14.596304,2026-06-22 23:16:29.055418,0 days 00:02:14.459114,32,0.16301380832431353,64,0.2614433213197819,0.0002876456229318902,3,downsample_labels,6.333647531094454e-05,0.16301380832431353,COMPLETE
71,0.7389543950557709,2026-06-22 23:16:29.075907,2026-06-22 23:18:52.944103,0 days 00:02:23.868196,32,0.26522192097390335,64,0.2530930310445312,0.0003854883029316319,2,downsample_labels,9.57734482143678e-05,0.26522192097390335,COMPLETE
72,0.7463359534740448,2026-06-22 23:18:52.967187,2026-06-22 23:20:45.951111,0 days 00:01:52.983924,32,0.22491622177589893,64,0.2775242818713889,0.00035158398473482465,2,downsample_labels,9.521259207388143e-05,0.22491622177589893,COMPLETE
73,0.7335476875305176,2026-06-22 23:20:45.973190,2026-06-22 23:22:27.994330,0 days 00:01:42.021140,32,0.2819792428903008,64,0.25207644297022774,0.00018013742328361966,2,downsample_labels,0.0001307762944610778,0.2819792428903008,COMPLETE
74,0.6573419570922852,2026-06-22 23:22:28.016149,2026-06-22 23:23:00.289584,0 days 00:00:32.273435,32,0.31838762332747794,64,0.22930014161109086,0.00027107327965811257,2,downsample_labels,0.0002160539676692312,0.31838762332747794,COMPLETE
75,0.5684973895549774,2026-06-22 23:23:00.310122,2026-06-22 23:25:40.651692,0 days 00:02:40.341570,32,0.23797687006531631,512,0.263231696228273,0.0003357136264792094,2,downsample_labels,0.00035007337859000126,0.23797687006531631,PRUNED
76,0.6225757300853729,2026-06-22 23:25:40.668482,2026-06-22 23:26:54.298211,0 days 00:01:13.629729,16,0.2523599473642906,64,0.20889067913874138,0.00038315788053283807,2,downsample_labels,4.66108171795293e-05,0.2523599473642906,PRUNED
77,0.7399125099182129,2026-06-22 23:26:54.314318,2026-06-22 23:28:49.301228,0 days 00:01:54.986910,32,0.2155782890761065,64,0.2719007678248687,0.0004155642521939991,2,downsample_labels,9.358918263479009e-05,0.2155782890761065,COMPLETE
78,0.7058780789375305,2026-06-22 23:28:49.322612,2026-06-22 23:31:25.230480,0 days 00:02:35.907868,8,0.12107647087547414,64,0.218588999171998,0.0005492476796591762,2,downsample_labels,0.00015345976701071197,0.12107647087547414,COMPLETE
79,0.7463226318359375,2026-06-22 23:31:25.251822,2026-06-22 23:34:15.205266,0 days 00:02:49.953444,32,0.18393491385712152,64,0.1877746370252591,0.00023559996577364676,3,downsample_labels,3.5518729422464894e-05,0.18393491385712152,COMPLETE
80,0.6744278073310852,2026-06-22 23:34:15.226953,2026-06-22 23:35:22.227994,0 days 00:01:07.001041,32,0.25583799236905647,64,0.2897546355427114,0.00020028414173644315,2,downsample_labels,0.00011469907265220487,0.25583799236905647,PRUNED
81,0.7482294142246246,2026-06-22 23:35:22.243992,2026-06-22 23:38:22.904413,0 days 00:03:00.660421,32,0.2795951342678965,64,0.2860327741302586,0.00031290806283530167,2,downsample_labels,1.2168147196349882e-05,0.2795951342678965,COMPLETE
82,0.6670982241630554,2026-06-22 23:38:22.926437,2026-06-22 23:39:31.660703,0 days 00:01:08.734266,32,0.33246496568980105,64,0.25757458487423707,0.0003206374044874207,3,downsample_labels,0.000451302636282999,0.33246496568980105,PRUNED
83,0.7479850053787231,2026-06-22 23:39:31.676771,2026-06-22 23:42:19.656480,0 days 00:02:47.979709,32,0.2963669531490197,64,0.27015802444091275,0.00027007595238391646,2,downsample_labels,1.4981545913594173e-06,0.2963669531490197,COMPLETE
84,0.6702606976032257,2026-06-22 23:42:19.676042,2026-06-22 23:43:39.730594,0 days 00:01:20.054552,32,0.2950019935707875,64,0.27111705813254994,0.00026309141192368274,2,downsample_labels,1.7763208602194104e-06,0.2950019935707875,PRUNED
85,0.6735971868038177,2026-06-22 23:43:39.747284,2026-06-22 23:44:48.182233,0 days 00:01:08.434949,32,0.3084260013938452,64,0.24006622446268977,0.00047242696544522823,2,downsample_labels,6.689763607050557e-06,0.3084260013938452,PRUNED
86,0.4907863289117813,2026-06-22 23:44:48.199664,2026-06-22 23:48:24.858523,0 days 00:03:36.658859,32,0.2072012661303153,512,0.29348233860364037,0.00030138675644649193,3,downsample_labels,2.443635541178351e-06,0.2072012661303153,COMPLETE
87,0.746748298406601,2026-06-22 23:48:25.052831,2026-06-22 23:51:22.054822,0 days 00:02:57.001991,32,0.25550233026089747,64,0.27888735379578294,0.0002447807617541833,2,upsample_preds,1.0797408240364923e-05,0.25550233026089747,COMPLETE
88,0.7468949258327484,2026-06-22 23:51:22.076991,2026-06-22 23:54:31.517232,0 days 00:03:09.440241,32,0.2372722022239533,64,0.26492223522811853,0.00013713544768447104,2,downsample_labels,6.223204794256624e-06,0.2372722022239533,COMPLETE
89,0.5777347683906555,2026-06-22 23:54:31.538381,2026-06-22 23:55:51.449681,0 days 00:01:19.911300,16,0.16835782352051043,64,0.1548173089136374,0.00027479479726325604,3,downsample_labels,1.4008448705576009e-06,0.16835782352051043,COMPLETE
90,0.7581793963909149,2026-06-22 23:55:51.471267,2026-06-22 23:58:14.584140,0 days 00:02:23.112873,32,0.44161238011919646,64,0.24549311370984117,0.0002053173890108923,2,downsample_labels,1.3920002645653504e-05,0.44161238011919646,COMPLETE
91,0.6505654156208038,2026-06-22 23:58:14.607623,2026-06-22 23:59:07.659062,0 days 00:00:53.051439,32,0.4630335244381448,64,0.248637282309719,0.00020455965076852697,2,downsample_labels,2.7236173404178073e-06,0.4630335244381448,PRUNED
92,0.7575957477092743,2026-06-22 23:59:07.675793,2026-06-23 00:01:43.190366,0 days 00:02:35.514573,32,0.4462366463266214,64,0.23126718981545633,0.00017395435877360347,2,downsample_labels,1.0113944242712683e-06,0.4462366463266214,COMPLETE
93,0.652124434709549,2026-06-23 00:01:43.213011,2026-06-23 00:02:42.221812,0 days 00:00:59.008801,32,0.4260056677570421,64,0.23151629891146366,0.00014184337799558278,2,downsample_labels,1.1099291454674626e-06,0.4260056677570421,PRUNED
94,0.6580333411693573,2026-06-23 00:02:42.237501,2026-06-23 00:03:34.702057,0 days 00:00:52.464556,32,0.44185443170072536,64,0.24364629814960634,0.00018030765186015187,2,downsample_labels,1.0012989784113892e-06,0.44185443170072536,PRUNED
95,0.7556876838207245,2026-06-23 00:03:34.719694,2026-06-23 00:05:46.375239,0 days 00:02:11.655545,32,0.48794736791022364,64,0.22535346028069192,0.00015762094141831773,2,downsample_labels,1.647158023018085e-06,0.48794736791022364,COMPLETE
96,0.6387148499488831,2026-06-23 00:05:46.395342,2026-06-23 00:06:37.769304,0 days 00:00:51.373962,32,0.4810200695696108,64,0.22614820281563466,0.00016270697385608357,2,downsample_labels,4.591724943498551e-06,0.4810200695696108,PRUNED
97,0.7036826610565186,2026-06-23 00:06:37.786500,2026-06-23 00:08:12.416522,0 days 00:01:34.630022,32,0.3927347276216991,64,0.2016503817606452,0.00012232470567635114,2,downsample_labels,7.717063151959362e-06,0.3927347276216991,PRUNED
98,0.636560320854187,2026-06-23 00:08:12.434568,2026-06-23 00:10:12.256212,0 days 00:01:59.821644,8,0.48781461765138756,64,0.23591586852981855,0.0002211960715864761,2,downsample_labels,1.2479724908967552e-05,0.48781461765138756,PRUNED
99,0.6553756892681122,2026-06-23 00:10:12.276115,2026-06-23 00:11:02.136442,0 days 00:00:49.860327,32,0.4653656652176406,64,0.21227464465192097,0.00014534933326599235,2,downsample_labels,2.357855557031879e-06,0.4653656652176406,PRUNED
